return_id,order_id,item_id,return_date,reason
1,1,1,2025-01-06,Wrong Item
2,3,5,2024-10-08,Wrong Item
3,8,14,2024-10-14,Other
4,12,24,2024-12-20,Changed Mind
5,13,25,2024-11-06,Late Delivery
6,19,36,2025-03-10,Other
7,23,48,2025-02-03,Changed Mind
8,25,52,2023-12-21,Defective
9,28,58,2025-10-02,Defective
10,28,59,2025-10-01,Defective
11,28,60,2025-10-14,Other
12,35,73,2025-04-19,Other
13,36,78,2025-07-05,Defective
14,37,83,2025-09-16,Wrong Item
15,43,94,2025-05-01,Late Delivery
16,54,114,2024-03-01,Changed Mind
17,61,129,2024-07-06,Other
18,63,132,2023-07-01,Late Delivery
19,90,193,2023-10-17,Defective
20,96,205,2024-02-25,Wrong Item
21,102,219,2025-04-24,Late Delivery
22,105,226,2024-02-10,Other
23,105,227,2024-01-31,Late Delivery
24,109,236,2025-07-14,Changed Mind
25,111,239,2025-10-06,Changed Mind
26,117,255,2024-12-20,Wrong Item
27,119,259,2024-03-20,Wrong Item
28,126,278,2023-07-28,Changed Mind
29,137,298,2025-05-28,Wrong Item
30,142,309,2023-12-02,Other
31,146,317,2023-07-12,Changed Mind
32,150,333,2025-03-23,Late Delivery
33,151,335,2024-09-29,Defective
34,157,348,2025-11-16,Late Delivery
35,161,356,2025-04-15,Other
36,179,393,2025-09-24,Changed Mind
37,186,410,2025-02-21,Wrong Item
38,195,432,2025-05-21,Late Delivery
39,196,438,2023-07-02,Defective
40,198,442,2025-07-13,Changed Mind
41,202,450,2024-03-31,Other
42,202,451,2024-04-09,Wrong Item
43,208,463,2024-11-02,Defective
44,210,466,2025-07-14,Defective
45,216,484,2025-02-28,Defective
46,224,502,2025-02-12,Defective
47,233,519,2025-07-19,Other
48,240,528,2025-01-17,Defective
49,243,533,2025-05-16,Late Delivery
50,250,552,2025-02-20,Late Delivery
51,260,575,2024-09-08,Other
52,260,576,2024-08-25,Other
53,266,589,2024-06-15,Wrong Item
54,271,603,2024-04-22,Late Delivery
55,271,604,2024-05-01,Changed Mind
56,292,656,2025-02-12,Wrong Item
57,306,687,2023-12-29,Defective
58,306,688,2024-01-10,Other
59,309,692,2025-01-07,Changed Mind
60,326,736,2025-02-20,Defective
61,331,747,2025-12-04,Late Delivery
62,339,765,2024-05-19,Other
63,359,812,2024-09-17,Wrong Item
64,374,848,2025-08-02,Wrong Item
65,403,907,2025-12-05,Late Delivery
66,408,917,2025-01-27,Late Delivery
67,411,922,2025-05-18,Defective
68,412,925,2025-07-20,Changed Mind
69,413,926,2025-12-23,Late Delivery
70,416,933,2025-10-01,Late Delivery
71,420,940,2025-12-25,Changed Mind
72,425,954,2025-11-03,Changed Mind
73,433,973,2025-06-25,Changed Mind
74,449,1010,2025-12-21,Wrong Item
75,453,1022,2024-05-31,Wrong Item
76,454,1023,2025-04-27,Other
77,514,1166,2025-03-27,Late Delivery
78,515,1169,2025-04-15,Wrong Item
79,522,1192,2025-08-10,Late Delivery
80,529,1207,2024-02-06,Late Delivery
81,545,1235,2024-06-29,Wrong Item
82,552,1250,2023-12-17,Defective
83,561,1275,2025-07-09,Late Delivery
84,572,1297,2025-10-19,Defective
85,572,1299,2025-10-24,Wrong Item
86,597,1349,2025-06-07,Defective
87,604,1363,2025-05-03,Defective
88,605,1364,2025-03-28,Defective
89,608,1370,2025-07-07,Wrong Item
90,613,1385,2023-10-29,Changed Mind
91,621,1403,2024-10-22,Wrong Item
92,625,1413,2025-12-14,Changed Mind
93,634,1431,2024-11-23,Late Delivery
94,648,1460,2025-07-04,Wrong Item
95,649,1464,2024-11-05,Changed Mind
96,662,1500,2025-12-09,Changed Mind
97,667,1512,2025-04-06,Late Delivery
98,698,1584,2025-05-06,Wrong Item
99,704,1605,2025-10-22,Late Delivery
100,709,1613,2025-05-05,Wrong Item
101,714,1625,2024-03-20,Defective
102,718,1637,2025-11-01,Defective
103,721,1644,2023-12-02,Defective
104,726,1653,2024-03-15,Other
105,729,1662,2025-06-26,Changed Mind
106,730,1665,2025-01-22,Late Delivery
107,741,1689,2025-04-22,Defective
108,743,1696,2024-09-02,Defective
109,747,1706,2023-06-15,Other
110,753,1724,2024-01-21,Wrong Item
111,753,1725,2024-01-24,Late Delivery
112,753,1726,2024-01-29,Defective
113,755,1728,2024-05-17,Late Delivery
114,757,1732,2024-12-25,Late Delivery
115,762,1741,2025-12-29,Other
116,768,1752,2023-12-29,Late Delivery
117,777,1774,2023-08-14,Defective
118,778,1777,2025-07-02,Defective
119,797,1829,2025-02-26,Other
120,799,1835,2024-07-13,Other
121,807,1855,2025-12-11,Late Delivery
122,814,1872,2025-11-03,Other
123,816,1875,2025-01-02,Changed Mind
124,819,1882,2024-05-01,Changed Mind
125,819,1883,2024-04-29,Wrong Item
126,839,1931,2025-05-07,Other
127,851,1955,2023-06-14,Wrong Item
128,862,1970,2025-03-12,Wrong Item
129,863,1972,2025-09-30,Changed Mind
130,867,1978,2024-06-27,Other
131,873,1989,2025-07-22,Wrong Item
132,875,1993,2025-09-13,Defective
133,883,2008,2025-10-19,Other
134,885,2015,2025-02-19,Changed Mind
135,887,2023,2023-08-11,Other
136,895,2037,2025-08-04,Late Delivery
137,896,2040,2024-05-08,Late Delivery
138,896,2042,2024-05-12,Late Delivery
139,907,2061,2025-10-19,Changed Mind
140,910,2069,2023-04-12,Late Delivery
141,936,2120,2025-07-30,Wrong Item
142,937,2121,2025-08-26,Late Delivery
143,943,2137,2023-11-25,Other
144,952,2162,2024-06-02,Other
145,961,2177,2025-05-16,Changed Mind
146,963,2180,2023-09-26,Defective
147,963,2181,2023-09-30,Defective
148,975,2207,2025-12-25,Late Delivery
149,981,2223,2024-08-27,Changed Mind
150,983,2225,2024-06-24,Defective
151,997,2253,2025-02-09,Wrong Item
152,1005,2267,2024-05-21,Changed Mind
153,1008,2276,2025-12-23,Changed Mind
154,1017,2299,2025-12-31,Other
155,1022,2312,2024-12-20,Wrong Item
156,1027,2326,2025-01-05,Changed Mind
157,1027,2327,2025-01-01,Late Delivery
158,1034,2350,2025-10-09,Wrong Item
159,1036,2353,2025-03-10,Other
160,1047,2380,2024-04-04,Other
161,1072,2434,2025-07-29,Changed Mind
162,1081,2455,2025-12-17,Changed Mind
163,1089,2475,2024-03-20,Late Delivery
164,1094,2489,2025-04-25,Defective
165,1103,2506,2024-08-26,Late Delivery
166,1110,2529,2025-07-17,Wrong Item
167,1113,2536,2024-08-20,Wrong Item
168,1155,2625,2023-10-18,Wrong Item
169,1158,2630,2024-10-02,Other
170,1168,2654,2024-09-15,Wrong Item
171,1174,2666,2025-09-16,Late Delivery
172,1175,2667,2023-07-23,Late Delivery
173,1181,2685,2024-03-25,Late Delivery
174,1181,2688,2024-03-29,Other
175,1187,2703,2023-11-23,Defective
176,1187,2704,2023-11-13,Other
177,1189,2708,2025-08-03,Defective
178,1190,2709,2023-07-08,Changed Mind
179,1192,2713,2024-09-15,Late Delivery
180,1198,2728,2025-03-13,Late Delivery
181,1200,2734,2024-11-06,Other
182,1206,2746,2025-03-08,Defective
183,1206,2747,2025-02-26,Late Delivery
184,1223,2791,2024-07-31,Wrong Item
185,1226,2798,2023-10-19,Late Delivery
186,1226,2799,2023-10-12,Wrong Item
187,1239,2823,2025-08-23,Other
188,1241,2826,2024-03-03,Late Delivery
189,1254,2853,2025-09-29,Changed Mind
190,1256,2856,2025-10-18,Other
191,1259,2861,2025-03-09,Other
192,1260,2862,2025-09-28,Other
193,1260,2863,2025-10-26,Late Delivery
194,1265,2875,2024-11-28,Defective
195,1266,2879,2025-09-21,Other
196,1276,2902,2025-09-23,Other
197,1276,2903,2025-08-31,Other
198,1277,2906,2025-02-07,Defective
199,1280,2913,2025-03-21,Defective
200,1286,2926,2025-01-31,Changed Mind
201,1290,2934,2025-07-20,Other
202,1290,2935,2025-07-14,Changed Mind
203,1293,2941,2025-02-11,Defective
204,1299,2957,2025-10-07,Other
205,1316,2997,2025-02-20,Other
206,1319,3003,2024-12-28,Other
207,1325,3019,2025-11-03,Defective
208,1332,3032,2024-01-15,Late Delivery
209,1349,3067,2025-12-10,Other
210,1354,3075,2025-10-03,Wrong Item
211,1361,3093,2025-04-20,Changed Mind
212,1367,3102,2025-01-19,Defective
213,1367,3103,2025-01-11,Other
214,1368,3105,2025-03-06,Wrong Item
215,1376,3122,2023-04-07,Defective
216,1397,3170,2025-01-14,Changed Mind
217,1399,3176,2025-06-25,Changed Mind
218,1401,3181,2024-05-24,Late Delivery
219,1410,3203,2025-07-25,Wrong Item
220,1412,3207,2025-09-18,Late Delivery
221,1428,3243,2025-09-26,Other
222,1442,3277,2024-12-01,Wrong Item
223,1442,3279,2024-12-20,Defective
224,1448,3292,2025-06-16,Late Delivery
225,1455,3305,2023-11-16,Wrong Item
226,1457,3309,2024-02-23,Changed Mind
227,1457,3310,2024-02-17,Changed Mind
228,1474,3346,2024-03-17,Other
229,1477,3351,2024-01-27,Wrong Item
230,1477,3352,2024-01-23,Defective
231,1479,3360,2023-07-02,Changed Mind
232,1487,3381,2025-10-23,Other
233,1500,3408,2025-08-06,Other
234,1503,3416,2025-07-06,Wrong Item
235,1515,3453,2025-12-24,Defective
236,1526,3474,2025-05-12,Other
237,1531,3483,2025-06-28,Late Delivery
238,1532,3490,2025-05-24,Changed Mind
239,1536,3500,2025-06-24,Late Delivery
240,1539,3506,2025-08-13,Wrong Item
241,1552,3530,2024-05-19,Other
242,1556,3540,2025-08-27,Late Delivery
243,1564,3563,2025-06-09,Defective
244,1564,3564,2025-06-02,Changed Mind
245,1564,3565,2025-05-27,Other
246,1570,3574,2024-06-19,Changed Mind
247,1586,3604,2024-12-14,Late Delivery
248,1591,3614,2023-12-26,Wrong Item
249,1595,3626,2024-10-05,Late Delivery
250,1597,3633,2025-07-16,Late Delivery
251,1605,3651,2024-08-03,Wrong Item
252,1612,3674,2025-10-27,Wrong Item
253,1613,3675,2024-02-06,Late Delivery
254,1618,3684,2025-01-14,Wrong Item
255,1638,3729,2024-08-29,Other
256,1642,3737,2024-09-10,Defective
257,1646,3748,2023-11-27,Late Delivery
258,1653,3762,2023-08-18,Late Delivery
259,1668,3787,2024-07-07,Wrong Item
260,1681,3814,2025-08-26,Wrong Item
261,1697,3843,2023-10-07,Late Delivery
262,1718,3890,2023-11-03,Other
263,1723,3896,2025-05-26,Changed Mind
264,1727,3905,2025-06-27,Late Delivery
265,1730,3911,2025-05-23,Late Delivery
266,1757,3969,2025-01-14,Defective
267,1759,3974,2024-08-18,Defective
