order_id,customer_id,employee_id,order_date,status,channel
1,692,12,2024-12-16,Completed,In-Store
2,702,6,2023-07-20,Completed,In-Store
3,722,12,2024-10-04,Completed,Online
4,753,9,2025-10-11,Completed,Online
5,339,8,2024-08-05,Completed,Online
6,367,2,2024-05-17,Completed,Online
7,557,9,2025-04-15,Completed,In-Store
8,10,2,2024-09-14,Completed,Phone
9,117,7,2025-07-21,Completed,Online
10,198,6,2025-01-23,Cancelled,Online
11,74,12,2024-08-29,Completed,In-Store
12,572,2,2024-12-06,Completed,Online
13,657,12,2024-10-30,Completed,Online
14,405,14,2024-09-22,Completed,Online
15,303,11,2025-09-27,Completed,Phone
16,88,5,2025-08-18,Completed,In-Store
17,632,14,2025-07-23,Completed,In-Store
18,101,4,2024-07-20,Completed,Online
19,199,6,2025-02-14,Completed,In-Store
20,657,7,2025-07-08,Completed,In-Store
21,662,10,2025-11-01,Completed,In-Store
22,38,9,2025-07-18,Pending,Online
23,407,6,2025-02-01,Completed,In-Store
24,750,8,2023-09-25,Completed,In-Store
25,212,9,2023-11-26,Completed,Online
26,760,5,2024-12-02,Completed,Online
27,362,14,2024-01-29,Completed,Online
28,154,3,2025-09-19,Completed,In-Store
29,45,3,2024-12-07,Completed,In-Store
30,185,9,2023-08-10,Completed,Online
31,622,8,2024-01-30,Completed,In-Store
32,465,10,2024-11-22,Completed,Online
33,701,7,2024-03-26,Completed,Online
34,442,9,2025-04-02,Pending,In-Store
35,590,2,2025-03-30,Completed,In-Store
36,705,13,2025-06-13,Completed,Online
37,571,8,2025-09-06,Completed,Online
38,165,7,2023-07-24,Completed,Online
39,228,6,2025-11-02,Completed,Online
40,529,12,2025-08-05,Completed,Online
41,283,13,2025-04-17,Completed,Online
42,93,9,2025-07-03,Pending,Phone
43,268,3,2025-04-12,Completed,Online
44,551,14,2024-05-06,Completed,Online
45,601,14,2025-12-02,Completed,Online
46,270,4,2025-07-01,Completed,In-Store
47,765,11,2023-10-14,Completed,In-Store
48,208,14,2025-07-25,Completed,Online
49,629,1,2024-06-09,Completed,Online
50,503,3,2023-05-16,Pending,Online
51,434,8,2023-09-24,Completed,Online
52,562,5,2025-08-02,Completed,In-Store
53,287,8,2025-09-05,Completed,Online
54,569,7,2024-02-15,Completed,In-Store
55,499,5,2025-07-24,Pending,Online
56,488,14,2024-10-19,Completed,Online
57,621,4,2024-12-04,Completed,Online
58,628,10,2025-04-14,Pending,Online
59,800,14,2023-09-26,Completed,Online
60,762,12,2024-06-25,Completed,Online
61,407,9,2024-06-08,Completed,Online
62,291,8,2024-10-22,Completed,In-Store
63,488,8,2023-06-21,Completed,Online
64,446,9,2024-10-11,Completed,Phone
65,1,9,2024-04-10,Pending,Online
66,300,10,2025-08-05,Completed,Online
67,388,4,2025-07-17,Completed,Online
68,114,11,2025-03-08,Completed,In-Store
69,289,5,2025-10-08,Completed,Online
70,320,13,2024-04-29,Cancelled,Online
71,391,14,2025-12-11,Cancelled,In-Store
72,534,11,2023-05-26,Completed,In-Store
73,260,8,2024-10-12,Completed,In-Store
74,708,8,2024-08-26,Completed,In-Store
75,778,11,2025-11-13,Completed,Online
76,356,13,2023-12-23,Completed,Online
77,714,8,2025-08-31,Completed,Online
78,795,11,2025-01-30,Completed,In-Store
79,397,4,2025-01-15,Completed,Online
80,133,3,2024-01-21,Completed,Online
81,502,9,2024-10-25,Completed,Online
82,672,8,2023-10-17,Pending,Online
83,60,14,2024-10-31,Completed,In-Store
84,641,3,2024-12-19,Completed,In-Store
85,674,3,2025-01-08,Completed,Phone
86,261,6,2023-08-01,Completed,Online
87,23,13,2024-04-01,Completed,Online
88,142,5,2025-05-10,Completed,Online
89,707,12,2024-12-04,Pending,Online
90,445,7,2023-10-14,Completed,In-Store
91,515,12,2025-08-12,Completed,In-Store
92,152,3,2025-05-30,Completed,In-Store
93,493,9,2025-08-26,Completed,Online
94,590,2,2025-10-15,Completed,Online
95,313,3,2023-05-02,Completed,Phone
96,776,12,2024-02-20,Completed,Online
97,265,9,2025-02-16,Completed,Online
98,278,1,2025-03-01,Cancelled,Online
99,324,8,2024-01-31,Completed,Online
100,342,8,2025-04-22,Completed,Online
101,641,5,2024-01-13,Pending,In-Store
102,350,15,2025-04-22,Completed,In-Store
103,320,15,2024-11-10,Completed,Online
104,789,3,2024-09-26,Completed,Online
105,326,14,2024-01-11,Completed,In-Store
