item_id,order_id,product_id,quantity,unit_price,discount
1,1,33,2,249.99,0.00
2,1,19,1,159.99,0.00
3,2,29,3,59.99,0.15
4,3,13,2,69.99,0.20
5,3,19,1,159.99,0.20
6,4,11,2,29.99,0.00
7,5,4,2,1299.99,0.05
8,5,41,2,199.99,0.05
9,6,5,3,999.99,0.00
10,7,22,1,9.99,0.10
11,7,24,2,79.99,0.20
12,7,19,3,159.99,0.20
13,8,40,10,549.99,0.05
14,8,16,1,599.99,0.15
15,9,24,3,79.99,0.00
16,9,33,1,249.99,0.15
17,10,35,2,89.99,0.10
18,10,1,5,899.99,0.00
19,10,41,1,199.99,0.05
20,10,5,3,999.99,0.20
21,10,14,3,39.99,0.05
22,11,5,1,999.99,0.10
23,12,41,2,199.99,0.00
24,12,26,2,199.99,0.05
25,13,5,1,999.99,0.10
26,13,23,1,19.99,0.00
27,13,33,3,249.99,0.00
28,14,26,3,199.99,0.10
29,15,24,5,79.99,0.00
30,15,1,1,899.99,0.05
31,15,36,1,109.99,0.05
32,16,33,1,249.99,0.00
33,17,4,2,1299.99,0.05
34,17,36,1,109.99,0.00
35,18,16,1,599.99,0.05
36,19,10,3,49.99,0.20
37,19,37,1,299.99,0.00
38,19,24,3,79.99,0.10
39,20,31,2,599.99,0.10
40,20,30,2,99.99,0.00
41,21,13,3,69.99,0.15
42,21,17,3,449.99,0.05
43,21,41,3,199.99,0.05
44,21,5,3,999.99,0.00
45,22,10,1,49.99,0.10
46,22,24,3,79.99,0.00
47,22,26,2,199.99,0.05
48,23,40,1,549.99,0.00
49,23,11,2,29.99,0.05
50,23,33,5,249.99,0.00
51,24,17,1,449.99,0.00
52,25,3,1,1199.00,0.20
53,25,21,2,12.99,0.00
54,26,38,2,14.99,0.00
55,26,5,5,999.99,0.05
56,27,33,2,249.99,0.00
57,27,9,2,799.99,0.00
58,28,27,2,129.99,0.00
59,28,22,1,9.99,0.00
60,28,8,3,699.00,0.00
61,29,37,1,299.99,0.00
62,30,19,5,159.99,0.00
63,31,38,2,14.99,0.05
64,31,12,1,89.99,0.05
65,32,13,2,69.99,0.15
66,33,39,3,399.99,0.00
67,33,3,2,1199.00,0.15
68,33,35,2,89.99,0.00
69,33,33,5,249.99,0.05
70,34,31,1,599.99,0.10
71,34,25,5,349.99,0.10
72,35,6,2,999.00,0.00
73,35,19,3,159.99,0.10
74,35,39,2,399.99,0.00
75,35,35,1,89.99,0.05
76,36,17,2,449.99,0.05
77,36,35,10,89.99,0.00
78,36,28,1,149.99,0.05
79,37,37,3,299.99,0.00
80,37,23,2,19.99,0.00
81,37,26,1,199.99,0.00
82,37,9,1,799.99,0.05
83,37,8,2,699.00,0.10
84,38,39,2,399.99,0.00
85,39,40,5,549.99,0.10
86,39,34,2,34.99,0.00
87,39,19,1,159.99,0.05
88,39,39,3,399.99,0.00
89,39,4,1,1299.99,0.05
90,40,1,10,899.99,0.00
91,41,1,3,899.99,0.00
92,42,18,2,189.99,0.00
93,42,15,5,129.99,0.05
94,43,8,3,699.00,0.20
95,44,31,3,599.99,0.20
96,44,16,2,599.99,0.00
97,45,15,2,129.99,0.00
98,45,21,2,12.99,0.10
99,46,36,2,109.99,0.00
100,46,12,5,89.99,0.00
101,47,16,5,599.99,0.00
102,48,6,2,999.00,0.05
103,49,40,2,549.99,0.20
104,49,21,5,12.99,0.15
105,50,37,1,299.99,0.05
106,51,12,2,89.99,0.05
107,51,30,1,99.99,0.00
108,51,8,2,699.00,0.00
109,51,34,2,34.99,0.00
110,52,32,1,179.99,0.10
111,52,28,1,149.99,0.15
112,53,7,3,849.99,0.10
113,54,31,2,599.99,0.00
114,54,1,5,899.99,0.05
115,54,12,2,89.99,0.00
116,55,11,1,29.99,0.10
117,56,36,1,109.99,0.00
118,56,17,1,449.99,0.05
119,57,19,3,159.99,0.00
120,57,23,1,19.99,0.05
121,57,21,2,12.99,0.20
122,57,33,5,249.99,0.05
123,57,32,5,179.99,0.00
124,58,21,3,12.99,0.05
125,58,19,1,159.99,0.15
126,59,11,5,29.99,0.00
